test_file,m,n,algorithm,Cmax,runtime_sec
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case7.txt,4,90,GA,899,0.31
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case6.txt,4,90,IP,940.9999999057543,61.85
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case6.txt,4,90,GA,921,0.31
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case10.txt,4,60,IP,631.9999999366999,60.59
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case10.txt,4,60,GA,637,0.22
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case6.txt,4,80,IP,821.0,61.36
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case6.txt,4,80,GA,831,0.28
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case4.txt,4,80,IP,769.999999845845,61.12
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case4.txt,4,80,GA,772,0.28
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case10.txt,4,50,IP,534.999998039418,60.44
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case10.txt,4,50,GA,547,0.19
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case4.txt,4,90,IP,946.0,61.33
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case4.txt,4,90,GA,948,0.31
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case5.txt,4,90,IP,912.9999999085995,61.73
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case5.txt,4,90,GA,912,0.32
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case5.txt,4,80,IP,810.9999999187992,61.17
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case5.txt,4,80,GA,814,0.28
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case1.txt,4,80,IP,903.0,61.3
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case1.txt,4,80,GA,891,0.29
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case1.txt,4,90,IP,931.9999999066913,61.56
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case1.txt,4,90,GA,940,0.32
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case2.txt,4,80,IP,799.0,61.33
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case2.txt,4,80,GA,797,0.28
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case2.txt,4,90,IP,888.9999999109996,61.38
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case2.txt,4,90,GA,892,0.32
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case3.txt,4,90,IP,912.9999996343265,61.84
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case3.txt,4,90,GA,910,0.31
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case3.txt,4,80,IP,824.9999996799405,61.2
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case3.txt,4,80,GA,829,0.28
