test_file,m,n,algorithm,Cmax,runtime_sec
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case151.txt,3,10,GA,32,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case179.txt,3,10,IP,31.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case179.txt,3,10,GA,31,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case178.txt,3,10,IP,23.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case178.txt,3,10,GA,23,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case150.txt,3,10,IP,17.999999998099284,0.26
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case150.txt,3,10,GA,18,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case144.txt,3,10,IP,34.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case144.txt,3,10,GA,34,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case193.txt,3,10,IP,22.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case193.txt,3,10,GA,22,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case187.txt,3,10,IP,26.0,0.06
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case187.txt,3,10,GA,27,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case89.txt,3,10,IP,27.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case89.txt,3,10,GA,27,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case76.txt,3,10,IP,26.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case76.txt,3,10,GA,26,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case62.txt,3,10,IP,19.999995501045532,33.18
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case62.txt,3,10,GA,20,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case48.txt,3,10,IP,19.0,0.48
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case48.txt,3,10,GA,19,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case74.txt,3,10,IP,21.0,0.21
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case74.txt,3,10,GA,21,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case60.txt,3,10,IP,17.99999999809998,0.51
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case60.txt,3,10,GA,19,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case191.txt,3,10,IP,23.999999997499994,0.23
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case191.txt,3,10,GA,24,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case185.txt,3,10,IP,20.0,0.15
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case185.txt,3,10,GA,20,0.04
